Connecting to host 192.168.2.3, port 5201
[  5] local 192.168.1.3 port 35202 connected to 192.168.2.3 port 5201
[  5] 244.00-245.00 sec   836 MBytes  7.01 Gbits/sec    0   1.98 MBytes       
[  5] 245.00-246.00 sec   776 MBytes  6.51 Gbits/sec    0   1.98 MBytes       
[  5] 246.00-247.00 sec   808 MBytes  6.78 Gbits/sec    0   1.98 MBytes       
[  5] 247.00-248.00 sec   800 MBytes  6.71 Gbits/sec    0   1.98 MBytes       
[  5] 248.00-249.00 sec   686 MBytes  5.75 Gbits/sec    0   1.98 MBytes       
[  5] 249.00-250.00 sec   843 MBytes  7.07 Gbits/sec    0   1.98 MBytes       
[  5] 250.00-251.00 sec   795 MBytes  6.67 Gbits/sec    0   1.98 MBytes       
[  5] 251.00-252.00 sec   717 MBytes  6.01 Gbits/sec    0   1.98 MBytes       
[  5] 252.00-253.00 sec   761 MBytes  6.38 Gbits/sec    0   1.98 MBytes       
[  5] 253.00-254.00 sec   802 MBytes  6.73 Gbits/sec    0   1.98 MBytes       
[  5] 254.00-255.00 sec   854 MBytes  7.16 Gbits/sec    0   1.98 MBytes       
[  5] 255.00-256.00 sec   643 MBytes  5.39 Gbits/sec    0   1.98 MBytes       
[  5] 256.00-257.00 sec   773 MBytes  6.48 Gbits/sec    0   1.98 MBytes       
[  5] 257.00-258.00 sec   614 MBytes  5.15 Gbits/sec    0   1.98 MBytes       
[  5] 258.00-259.00 sec   677 MBytes  5.68 Gbits/sec    0   1.98 MBytes       
[  5] 259.00-260.00 sec   660 MBytes  5.54 Gbits/sec    0   1.98 MBytes       
[  5] 260.00-261.00 sec   802 MBytes  6.73 Gbits/sec    0   1.98 MBytes       
[  5] 261.00-262.00 sec   724 MBytes  6.08 Gbits/sec    0   1.98 MBytes       
[  5] 262.00-263.00 sec   813 MBytes  6.82 Gbits/sec    0   1.98 MBytes       
[  5] 263.00-264.00 sec   815 MBytes  6.84 Gbits/sec    0   1.98 MBytes       
[  5] 264.00-265.00 sec   854 MBytes  7.17 Gbits/sec    0   1.98 MBytes       
[  5] 265.00-266.00 sec   788 MBytes  6.61 Gbits/sec    0   1.98 MBytes       
[  5] 266.00-267.00 sec   827 MBytes  6.94 Gbits/sec    0   1.98 MBytes       
[  5] 267.00-268.00 sec   805 MBytes  6.75 Gbits/sec    0   1.98 MBytes       
[  5] 268.00-269.00 sec   798 MBytes  6.70 Gbits/sec    0   1.98 MBytes       
[  5] 269.00-270.00 sec   796 MBytes  6.68 Gbits/sec    0   1.98 MBytes       
[  5] 270.00-271.00 sec   811 MBytes  6.80 Gbits/sec    0   1.98 MBytes       
[  5] 271.00-272.00 sec   590 MBytes  4.95 Gbits/sec    0   1.98 MBytes       
[  5] 272.00-273.00 sec   721 MBytes  6.04 Gbits/sec    0   1.98 MBytes       
[  5] 273.00-274.00 sec   803 MBytes  6.73 Gbits/sec    0   1.98 MBytes       
[  5] 274.00-275.00 sec   850 MBytes  7.13 Gbits/sec    0   1.98 MBytes       
[  5] 275.00-276.00 sec   833 MBytes  6.99 Gbits/sec    0   1.98 MBytes       
[  5] 276.00-277.00 sec   844 MBytes  7.08 Gbits/sec    0   1.98 MBytes       
[  5] 277.00-278.00 sec   792 MBytes  6.65 Gbits/sec    0   1.98 MBytes       
[  5] 278.00-279.00 sec   806 MBytes  6.76 Gbits/sec    0   1.98 MBytes       
[  5] 279.00-280.00 sec   801 MBytes  6.72 Gbits/sec    0   1.98 MBytes       
[  5] 280.00-281.00 sec   792 MBytes  6.64 Gbits/sec    0   1.98 MBytes       
[  5] 281.00-282.00 sec   796 MBytes  6.68 Gbits/sec    0   1.98 MBytes       
